ID #,TITLE,DESCRIPTION,LOCATION,DISTRICT,LATITUDE,LONGITUDE
CF-662062,Tree Replacement - Storm Damage,New tree installation will begin in the spring of 2008 and continue until completed in November 2008.  A two part approach is suggested that continues the strategy that Saint Paul has historically and successfully used in planting trees on park property and boulevards.  This includes planting two and a half inch caliper trees.,"Como Park, Phalen Park, and several smaller parks",Citywide,,
CF-042167,Bruce Vento Interpretive Center Site Acquisition,"Several parcels adjacent to the Bruce Vento Nature Sanctuary, totaling approximately 4.5 acres, have been approved by the City of Saint Paul and the Metropolitan Council for acquisition.  This acquisition will expand the existing Bruce Vento Nature Sanctuary for purposes of providing a new Interpretive Center facility.  Inclusion of these parcels as an addition to the Nature Sanctuary has been approved by the Metropolitan Parks and Open Space Commission and as such are eligible for funding from its Park Acquisition Opportunity Fund.  This fund will provide 75% of the acquisition costs, with the requirement that the City of Saint Paul provide the remaining match amount of 25%.",Commercial and Fourth Streets,4,,
RE-552943-1,Frogtown Facelift Too,"The Frogtown Facelift Too Program seeks $698,000 to provide up to 20 Single-Family and Owner Occupied Duplex homes owners in Frogtown and Summit University/Aurora St. Anthony with the opportunity to make vital repairs to their homes. Each owner can receive a loan up to $30,000. One half of the funds are forgiven over a five year period and one half of the funds are due on sale. Homeowners must be 80% or below median income (64,400 for a family of 4). The program was originally created as part of the city's ISP work in 2008. We have completed 17 projects under this program. It is designed to help owners who cannot qualify for the regular Facelift Program due to credit or debt to income issues. The program focuses primarily on necessary emergency/deferred maintenance problems. This improves the quality of life of the family and to keep a stable and well maintained housing stock.",Frogtown,"7, 8",,
SU-061894,Wheelock Parkway Bridge No. 90396 Replacement,"Reconstruct Wheelock Parkway Bridge 90396 which crosses over a ravine and the CP Railway. The new bridge would provide adequate traffic lanes, bikeway and walkway, and lantern lighting and ornamental metal railings.",Wheelock Parkway over CP RR between Park and Sylvan,6,,
CF-172918,Pedro Park,"This project will develop a master plan and cost estimate for the phased development of critical parcels for a new downtown park within the block bounded by 10th, Robert, 9th and Minnesota Streets.",10th and Robert Streets,17,,
SU-6600816-19,Grigg/Jefferson RSVP,"Grade and pave existing oiled and older paved residential streets with new bituminous pavement.   Other work to be done includes the construction of concrete curbs and gutters, driveway aprons, outwalks, handicapped pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.  This program also includes installation of street lighting on newer paved residential streets that currently do not have any street lighting.",Grigg/Jefferson RSVP,14,,
CF-032206,Harriet Island Acquisition and Maint Facility and Lilydale,"This proposal is to provide local matching funds for a Metropolitan Land Acquisition Grant to acquire property located adjacent to Lilydale /Harriet Island Regional Park at 336 West Water Street and for implementation of a gateway feature for Lilydale Park which currently lacks any identification or demarcation of any kind from the St. Paul side.  This acquisition is the next step toward the completion of the Lilydale/Harriet Island Regional Park Master Plan and a step toward realizing the goals put forth in the Parks Plan chapter of the St. Paul Comprehensive Plan.  Once acquired, the Harriet Island Operation's Facility at 85 Water Street can be relocated to the newly acquired  site allowing a higher purpose for the current maintenance facility parcel which will instead supplement the inadequate vehicular parking providing additional access to the park.",336 West Water Street,3,,
RE-661808-5,Housing Real Estate Multi-Unit Development Fund,"Funding is being requested to address rental or ownership properties with more than four units as follows:  

1.	Assist in rehabilitation/redevelopment.    
2.	Implement CDBG-eligible activities related to acquisition and related costs such as relocation, demolition, site preparation, public improvements, rehabilitation, new construction (if marketable), and all financing and other related costs that are part of the total development cost of a housing project.
3.	Implement the housing component of larger mixed-use development as determined by Mayor, City Council/HRA and neighborhood priorities",Citywide,Citywide,,
SU-021903,Maryland Avenue - Phalen Village Left Turn Lanes,"Now that Phalen Boulevard has been completed, left turn lanes are needed for west bound Maryland Avenue to south bound Phalen Boulevard at Clarence Street and Prosperity Avenue. Install left turn lanes on westbound and eastbound Maryland at Clarence Street and Phalen Boulevard intersections. This proposal will fund the City's share of the project which will be administered by Ramsey County.",Maryland Avenue from Clarence Street to Prosperity Avenue,2,,
RE-661753-7,St. Paul Home Improvement Loan Fund,Community Neighborhood Housing Services' St. Paul Home Improvement Loan Fund provides home improvement loans and construction management services for home improvement projects for eligible low-to-moderate income single family owner occupied homes in the City of St. Paul with a focus on underrepresented neighborhoods and overall city-wide coverage and support.,Citywide,Citywide,,
SU-6600816-26,Magnolia/Earl RSVP,"Grade and pave existing oiled and older paved residential streets with new bituminous pavement.   Other work to be done includes the construction of concrete curbs and gutters, driveway aprons, outwalks, handicapped pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.  This program also includes installation of street lighting on newer paved residential streets that currently do not have any street lighting.",Magnolia/Earl RSVP,5,,
CF-072921,Frogtown Community Center,"This project includes the design and construction of a new 20,500 square foot Frogtown Community Center to replace the existing Scheffer Recreation Center. The new building will help provide expanded programming for all ages, abilities, and backgrounds in flexible interior spaces. Construction on new outdoor courts, play area, and fields will occur following completion of the new building.","237 Thomas Avenue, St.Paul, MN  55103",7,44.9595947,-93.1101074
SU-662762,Lighting Infrastructure Improvements Program,"The purpose of this program is to replace lighting infrastructure that has reached the end of its life and is inefficient or deteriorated to the point it needs replacement. Census Tract 9/10 was completed under a similar program over a five year period. Targeted areas would be to replace existing ""Gooseneck"" Lighting in residential areas within Summit University area and West Side area with Redesigned Historic Lantern Style lighting, to refurbish or replace Historic 13' Lantern Lighting in various areas of the City and to replace deficient 25' or taller poles.

The program also allows for the installation and/or adjustment to street lighting as necessary, and in compliance with lighting policy.",Citywide,Citywide,,
SU-081899,Selby Avenue Reconstruction (Phase III) - Kent to Arundel,"Grade and pave existing older paved street with bituminous pavement. Other work includes: construct concrete curb and gutter, driveway aprons, outwalks, storm sewer system, pedestrian ramps, grade and sod boulevards, plant trees and install street lighting. This segment would be Phase III of the Selby Avenue improvements.",Selby Avenue from Kent to Arundel,8,,
CF-550998,Swede Hollow Park Acquisition @ Bruce Vento Trail,"Acquisition of a 2 1/2 acre parcel located at the north end of Swede Hollow Park.  Currently, this parcel includes asphalt walks, trails, seating area with benches, community installed stone sculpture, landscaping and the pond which supplies water to the portion of Phalen Creek that flows through the park.  It also provides direct access to Swede Hollow Park from the Bruce Vento Regional Trail as well as access from the Railroad Island neighborhood west of Swede Hollow via the existing restored Drewery Lane Tunnel which terminates at this property.  Lastly, this parcel includes the area where the park access from the east side of Swede Hollow terminates.",East of Bruce Vento Regional Trail at Drewery Lane Tunnel,"4, 5",,
SU-660825-1,Signal Installation Program,"To administer, design and construct new traffic signal installations when warranted or substantially revise an in-place traffic signal system if necessary.",Citywide,Citywide,,
SU-6602231-21,8th Street RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",8th Street RSVP,17,,
SU-063745,Washington Tech - Safe Routes to School Project,"This project will install sidewalk on arterials with missing segments and on local
residential streets around the Washington Technical Magnet School . Other elements
include pedestrian crossing improvements, bump outs and countdown timers at 2
traffic signal locations.",Arlington and Rice area,6,44.984756,-93.105923
CF-550990,Lilydale Park Trail Connection,"Connect existing bicycle-pedestrian trail in Harriet Island/Lilydale Park to Dakota County's Big Rivers Trail.  There is presently a gap of approximately 3,700 feet, located in Lilydale, between the boat launch area and the upstream end of the park near the pool and yacht club.  This gap can be filled by a combination of off-road trail construction and conversion of part of the existing roadway to trail use.",Lilydale Park:  Mendota Heights/Mississippi River/Harriet Island,"13, 14",,
SU-150769,Edgcumbe Road Bridge (over ravine near Hamline Avenue),Replace the existing Bridge.,Edgcumbe Road Bridge over ravine near Hamline Avenue,15,,
SU-6600816-18,Hubbard/Griggs RSVP,"Grade and pave existing oiled and older paved residential streets with new bituminous pavement.   Other work to be done includes the construction of concrete curbs and gutters, driveway aprons, outwalks, handicapped pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.  This program also includes installation of street lighting on newer paved residential streets that currently do not have any street lighting.",Hubbard/Griggs RSVP,11,,
CF-660836-349,Back-up Generator for East District- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,722 Payne Ave,5,44.96344769,-93.07356135
CF-660836-381,Dale Street North Garage Building Repairs- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,877 N.  Dale Street/ North Garage,10,44.96774725,-93.12639393
RE-071802-1,Frogtown Facelift Rehab Loan Program,"The requested funds would provide on going funding to our Facelift Rehab Loan Program. The program was started in 1997 to provide low income homeowners with a low interest loan/grant to make necessary repairs to their homes. The program serves as the foundation of our rehab lending work serving families who are at 80% or less of the metro wide median income. The program is designed to allow residents to borrow up to $30,000 -1/3 of the funds are forgiven over 5 years as long as they continue to live in and own the home, 1/3 is due on the sale of the home, the final 1/3 is repaid at 5% interest over 12 years, so monthly payments end up around $92 per month, instead of nearly $250/month on a traditional loan. The program has close over 140 loans to date. This has resulted in an investment of over $2.9 million dollars in the community.",District 7 boundaries,7,,
SU-1203192,Raymond Avenue Streetscape - Hampden to Energy Park (Ph. II),"Reconstruct Raymond Avenue from Hampden to Energy Park Drive.  The proposed improvements include: new asphalt roadway, curb and gutter, bump-outs at various intersections, sidewalk improvements, ADA compliant pedestrian ramps, storm water quality improvements, bike lane improvements, lantern style street lighting, traffic signal revisions and landscaping.",Raymond Avenue from Hampden to Energy Park Drive,12,,
SU-6600816-6,Edmund/Galtier RSVP,"Grade and pave existing oiled and older paved residential streets with new bituminous pavement.   Other work to be done includes the construction of concrete curbs and gutters, driveway aprons, outwalks, handicapped pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.  This program also includes installation of street lighting on newer paved residential streets that currently do not have any street lighting.",Edmund/Galtier RSVP,"1, 2",,
SU-153005,Montreal Avenue Reconstruction - St. Paul Avenue to Snelling,"Grade and pave existing older street with bituminous pavement. Other proposed improvements include: construct concrete curb and gutter, driveway aprons, outwalks, ADA compliant pedestrian ramps, storm sewer system improvements, grade and sod boulevards, install new street lighting system, and plant trees. Watershed requirements will be implemented where feasible.",St. Paul Avenue and Snelling Avenue,15,,
RE-6603343-3,Payne-Bedford - 8-80 Vitality Fund,"Based on the work of Gil Penalosa, an internationally renowned urban designer, this fund will allow the building of bold and vibrant places across the City of Saint Paul.  The 8-80 Vitality Fund will build on the momentum of recent investments such as Rebuild Saint Paul and the Green Line.  An 8-80 city works for people aged 8 and aged 80, by providing streets and public spaces that create vital and welcoming neighborhoods.

Investments include:
$8M - Palace Theatre renovations to match State bonding
$8M - Jackson Street reconstruction and phase 1 of downtown bike loop
$13.2M - Grand Rounds, including street reconstruction and bike lanes
$2M - Dickerman Park, developing green spaces on the Green Line
$1.8M - Optical fiber infrastructure to provide high speed citywide network connectivity
$9.5M - Street Reconstruction, including 8-80 streets and public spaces",Payne and Bedford,5,,
RE-663222-1,Business Expansion Program,The Business Expansion Program will provide financing for business expansion and job creation in Saint Paul neighborhoods. Approximately 72 new jobs will be created and 180 retained through financing to an estimated 12 locally owned businesses.,Citywide,Citywide,,
CF-152907,Highland Park Branch Library Renovation and Addition,This proposal defines a plan to upgrade the Highland Library to 21st century library standards. The result will be an energy-efficient and more welcoming building with a new service delivery plan. The upgrade will create more flexible and multi-purpose spaces for individual and group learning and community gatherings; be adaptable to varied and emerging technologies; take advantage of existing technology to improve patron self-service and add operating efficiency for staff; create a more welcoming and easily accessible building entry; enhance the interactivity of the early literacy space consistent with the Library's partnership with the Minnesota Children's Museum; enhance the environment for teens and expand their opportunities to explore new media literacy tools; improve the unique environment for adults; and improve energy efficiency.,1974 Ford Parkway 55116,15,,
SU-052957,Aguirre Avenue Connection,"The Aguirre Avenue Connection Project will provide increased public bicycle/pedestrian access to the Bruce Vento Regional Trail and Eastside Heritage Park via construction of a short trail link to Aguirre Avenue and Payne Avenue. The Bruce Vento Regional Trail and new Eastside Heritage Park are significant assets for the Payne/Phalen community, offering a high quality park facility and access to a more than 85-mile network of trails. However, because the park and trail are situated below the community in a former rail corridor, there is no quick connection to the surrounding, densely populated residential area, the Payne Avenue commercial corridor and other destinations such as the John A Johnson Achievement Plus School and East Side YMCA. Aguirre Avenue currently offers a partial connection between Payne Avenue and the trail and park. By constructing an approximately 200-foot trail connection off of the end of the existing street, direct pedestrian/bicycle access can be provided for an estimated $30,000.","Aguirre Avenue, Payne Avenue, Bruce Vento Regional Trail",5,,
SU-552232,Saint Paul Arterial Roadway Traffic Flow Improvements,"The project provides the installation of fiber optic cable and the retiming optimization of 62 traffic signal systems along 15.5 miles of roadway throughout St. Paul.  The roadway segements include:
1.) Seventh Street from Davern Street to White Bear Avenue
2.) St. Paul Avenue from Seventh Street to Cleveland Avenue
3.) Cleveland Avenue from St. Paul Avenue to Ford Parkway
4.) Ford Parkway from Cretin Avenue to Snelling Avenue, and
5.) Snelling Avenue from Montreal Avenue to Hewitt Avenue

The installation of fiber optic cable along these corridors will move the City closer to its goal of a citywide redundant fiber optic cable backbone dedicated to traffic control management.  The project will add centrally controlled computerized management to 25 of the 62 project signal systems and 10.7 miles of the 15.5 miles of project roadways.  The signal systems and roadways identified in this project will benefit from the added functionality and reliability of fiber optic communications as well as the development and optimization of new peak hour traffic signal timing plans.",Various Roadway Segments throughout the City of St. Paul.,"2, 4, 5, 9",,
SU-660818-1,Municipal State Aid Contingency,"To provide a funding source for Municipal State Aid (MSA) projects which, through unforeseen circumstances, exceed predicted costs.  Also, to provide a funding source for the City's share of MnDOT projects that involve City facilities.",Citywide,Citywide,,
SU-171880,Kellogg Boulevard Bridge No. 92797 and 92798 Replacement,Reconstruct Kellogg Boulevard Bridges 92797 and 92798. The bridges are located on the east bound side of Kellogg between Wabasha and Market. Railing and lighting would be similar to the present in-place features.,Kellogg Boulevard from Market Street to Wabasha Street,17,,
SU-052326,Payne Avenue Reconstruction - Whitall to Cook,"Mill and overlay existing older pavement, replace deteriorated sidewalk, replace the existing street lighting system with a new twin lantern style lighting system.  This lighting system will improve both the lighting performance and esthetics of the neighborhood.  Other work includes revising the traffic signal system at the intersection of Payne and Case and palnting boulevard trees where possible.",Payne Avenue from Whitall Street to Cook Street,5,,
SU-661683-1,Sewer Tunnel Rehabilitation,"First project of a long term program which identifies and prioritizes 
maintenance, repair, rehabilitation and replacement needs within the 
City's sewer tunnel system.",St. Albans Tunnel,Citywide,,
SU-551383,35E/Shepard Road/West Seventh Street - EIS,"Conduct an Environmental Impact Study (EIS) in partnership with Mn/DOT, Metro Transit and Ramsey County to explore alternatives, fesibility and impacts of diverting the high number of regional trips from West Seventh Street between I35E and the T.H. 5 Bridge over the Mississippi River to Shepard Road.","35E at West Seventh Street and Shepard Road
Shepard Road at T.H. 5 River Bridge and along West Seventh Street","9, 15",,
SU-550802-1,Como Bike Lanes,"Install signs and/or stripe on street bike lanes on the following streets: Como Av. - Raymond to Hamline, HORTON/GATEWAY DR. - Hamline to Como, COMO AVE. - Gateway Dr. to Capitol Heights, U of M TRANSIT WAY - Como Ave. west to existing trail (includes some off road trail and railing), CLEVELAND AVE. - Raymond to Commonwealth, ENERGY PARK DR./KASOTA - west city limits to Raymond, RAYMOND/MYRTLE/PELHAM - Mississippi River Blvd. to Como Av., LEXINGTON PKWY - Horton to Larpenteur, PARK/CONSTITUTION/JOHN IRELAND - Como Ave to Summit, CAPITOL HEIGHTS/WINTER/MT. AIRY/JACKSON/CAYUGA - Como Ave. to Gateway Trail.  Spot improvements such as drainage grate replacement, bridge expansion joint or intersection signal modification will be required to provide a smooth safe surface and convenient route for bicyclist.",See Description,"6, 7, 10, 12, 17",,
SU-023252,Redesign of Ames Place/Case/White Bear intersection,Redesign of Ames Place/Case/White Bear intersection closing Ames Place at Case and turning it into a cul-de-sac eliminating its connection to Case and White Bear.,Ames Place/Case/White Bear intersection,2,,
CF-0901324,Chestnut Plaza,"Chestnut Plaza is being developed as a series of walks, ramps, paved and landscaped areas to connect visitors to the Mississippi River water's edge at the historic upper landing, where the Samuel Morgan Regional Trail and Eagle Parkway Trails meet.",Chestnut Plaza on Shepard,"1, 4",,
CF-053127,Lockwood Park Play Area,"This proposal seeks to refurbish the play area at Lockwood Park and replace any equipment which does not meet CPSC and ADA guidelines.  The addition of synthetic resilient surfacing will provide both accessibility and safety measures to the new play area.  Additional site improvements may include walks, benches, and landscaping as necessary.","1066 Mendota St., St. Paul, MN  55106",5,,
SU-6602231-2,Front/Victoria RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Front/Victoria RSVP,7,,
CF-171824,City Hall Conference Room Media Upgrade,"The Saint Paul City Hall and Ramsey Court House Conference Rooms 40 A&B are the two primary meeting rooms for City/County meetings and events, as well as the site to host numerous public activities coordinated through the City and County.  In today's technology driven market, media presentation capabilities are expected to be part of any event.  Unfortunately, the media production and presentation equipment in the main meeting rooms for the City and County are antiquated and/or broken.  To bring the rooms up to modest but acceptable technological meeting room standards will cost approximately $110,000.  Included in the media equipment package:
""	New projector and large screen
""	Self-contained presentation kiosk
""	Cameras for meeting coverage & presentations
""	New audio system
""	Display monitors
While this package replaces the existing equipment, consideration should be given to make the rooms capable of video teleconferencing.  This would add an additional $20,000.",City Hall,17,,
RE-661087-1,Home Improvement Lending Program,"For the past 22 years, CNHS has been lending CDBG funds to homeowners within the City of St. Paul for home improvements.  According to the 1990 census tracts, more than 50% of the housing stock in many of the city's districts was built prior to 1939. There are ongoing maintenance and improvement needs throughout the community.  CNHS works with families who are below 80% of the local area median income.  The focus of the home improvements follows the HUD CDBG guidelines.  As the years pass the average size loan for these improvements increase.  Currently the average size loan is about $14,000 per project.

CNHS is requesting funds from the City of St. Paul to continue a home improvement loan program to stabilize the housing infrastructure needs of the families within the city of St. Paul.",Citywide,Citywide,,
RE-070742-3,Frogtown Facelift Home Loan Rehab Program,"The Frogtown Facelift program has successfully operated for 7 years, and has provided over 120 families with loans.  Each loan has 1/3 of its funds amortized, 1/3 forgiveable and 1/3 due on sale.  This program has been the main foundation for Greater Frogtown CDC to assist residents who already have made a commitment to the community by purchasing a home.  The Frogtown Facelift Program supports the efforts of those low- income single-family home-owners to maintain and improve their homes.  The program assists owners by working with them to improve the livability of their homes.  Common improvements include roof replacement, furnace replacements, bathroom upgrades, and other health and safety related improvements.   The program further works with clients to identify potential hazard problems such as lead, mold, and asbestos.  The programs goal is to not only improve the housing stock, but to improve the lifes of the people living in the homes.  We are requesting $685,000 over two years.",Multi-District,7,,
CF-661742,Library/Parks Joint Facility Projects,"Address expansion or upgrades or other actions as needed on the following sites:  West Seventh Street Library and Comm. Center ($100,000), Rice Street Library and Community Center/Police Station ($50,000), Sunray Library and Community Center ($50,000), Highland Library and Community Center ($50,000), as well as Hamline Library ($50,000).",Various City-wide,Citywide,,
SU-6600816-21,Wabasha at Plato Signal,"Grade and pave existing oiled and older paved residential streets with new bituminous pavement.   Other work to be done includes the construction of concrete curbs and gutters, driveway aprons, outwalks, handicapped pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.  This program also includes installation of street lighting on newer paved residential streets that currently do not have any street lighting.",Wabasha at Plato Signal,3,,
CF-031323,Bluff Park Paths and Improvements,"Replace paths, rebuild/replace stairs, and improve lighting, signage and landscaping in Bluff Park.",Concord and TH52 (Lafayette),3,,
SU-122346-1,Raymond Avenue Traffic Calming - University to Hampden,"In 2000, a traffic calming task force was formed by the Saint Anthony Park Community Council in order to develop plans for traffic calming along Raymond Avenue between University and Como Avenue.  This project will provide a more ""complete street"" by installing various traffic calming techniques and devices resulting in a safer environment for pedestrians and bicyclists.  Traffic calming devices being considered for deployment include intersection realignments, medians and bump-outs at intersections.  Bicycle facilities and minor sidewalk improvements will also be made to match the new alignment and geometry along the corridor.",Raymond Avenue between University Avenue and Hampden Avenue,12,,
CF-062144,Como Historic Bridge Site - T21 Grant Match,"Construction of a historic interpretive site at the location of the Como Park Streetcar Station Pedestrian Bridge.  One of the oldest concrete bridges in Minnesota and listed on the National register of Historic Places, this bridge was constructed by the Twin Cities Rapid Transit Co. to span the Como-Harriet Streetcar tracks, which once brought visitors to Como Park.  The project will salvage a portion of the original historic Melan arch, construct viewing platforms on each end of the bridge and provide details from the original bridge railings and deck as well as interpretive signage to educate the public on the significance of this bridge as a critical transportation feature in the early development of Como Park.",Adjacent to Como Park Streetcar Station at Horton and Lexington,6,,
SU-661891-1,Bicycle Facilities Program,"Establish an annual program to recognize and encourage bicycling as a viable transportation mode, and to construct bicycle facilities to further enhance bike usage. Funding will be used to install bike lanes, pavement markings and signs, and install bicycle racks in sidewalk areas.",Citywide,Citywide,,
RE-6603343-16,North Snelling - 8-80 Vitality Fund,"Based on the work of Gil Penalosa, an internationally renowned urban designer, this fund will allow the building of bold and vibrant places across the City of Saint Paul.  The 8-80 Vitality Fund will build on the momentum of recent investments such as Rebuild Saint Paul and the Green Line.  An 8-80 city works for people aged 8 and aged 80, by providing streets and public spaces that create vital and welcoming neighborhoods.

Investments include:
$8M - Palace Theatre renovations to match State bonding
$8M - Jackson Street reconstruction and phase 1 of downtown bike loop
$13.2M - Grand Rounds, including street reconstruction and bike lanes
$2M - Dickerman Park, developing green spaces on the Green Line
$1.8M - Optical fiber infrastructure to provide high speed citywide network connectivity
$9.5M - Street Reconstruction, including 8-80 streets and public spaces",North Snelling Ave,"11, 13",,
CF-092916-1,Palace Recreation Center Renovation,"This project is the third and final phase of the expansion and renovation of the Palace Recreation Center and is focused on completion of needed site improvements benefitting the Palace Park community.  Many of the existing site amenities were removed or impacted due to the expansion of the building thus creating the need for a new play area, field enhancements, new walking paths, improved lighting, and new gathering spaces.","781 Palace Avenue, St. Paul, MN",9,,
CF-033143,Parque Castillo Play Area Improvements,Replacement of the existing play area and park improvements.  Update to current CPSC guidelines and ADA standards.,"149 Cesar Chavez Street, St. Paul, MN",3,,
SU-140762,Jefferson Avenue and Edgcumbe Road Reconstruction,"The existing concrete base street will be reconstructed with bituminous pavement and concrete curb and gutter. Between Hamline and Edgcumbe the existing street is 34' with parking on the south side. Between Edgcumbe and Lexington it is 2 - 24' roadways with a median with parking on the south side. Under the MSA rules, the standards  for this street are 32' wide with parking on one side, or 38' wide with parking on both sides. Lantern style lighting and trees will be installed in conjunction with the street reconstruction.","Jefferson Avenue - Hamline to Lexington and 
Edgcumbe Road - Jefferson to Lexington",14,,
SU-6602231-3,Seventh/Douglas RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Seventh/Douglas RSVP,9,,
SU-662264,Sewer Tunnel Rehabilitation Program,"Continuation of a program that identifies, prioritizes and constructs the repair, rehabilitation and repalcement of the City of St. Paul's sewer tunnel system.",Citywide,Citywide,,
SU-660827-1,Traffic Calming Program,"There is a wide variety of neighborhood traffic calming techniques.  A few examples are: street narrowing, chokers (bump outs), diverters, traffic circles, street closures, signing, pavement markings, median islands, etc.  These techniques must be tailored for a particular problem.",Citywide,Citywide,,
SU-171910,Robert Street Stairway Replacement,Reconstruct the deteriorated stairway that connects Robert Street and Second Street. The new stairway would provide low maintenance steps and handrails that meet current safety codes.,At the intersection of Second Street and Robert Street.,17,,
RE-553431-1,Inspiring Communitites,"Inspiring Communities addresses vacant property owned by the HRA through development, redevelopment and conveyance. We are producing high quality, affordable ownership and rental units. Our work is stabilizing neighborhoods, decreasing the quantity of vacant buildings, increasing non-distressed home sales, stabilizing real estate values, and increasing the City's tax base.",Citywide,Citywide,,
SU-053251,Redesign/Reconstruction of Payne/7th St Intersection,Redesign and reconstruct the intersection of Payne Avenue and East 7th Street to enhance pedestrian safety and to provide for an attractive gateway to Railroad Island the Payne Phalen community.,Payne Avenue and East 7th Street,5,,
SU-550893-3,White Bear Avenue at Maryland and Old Hudson,"Continuation of White Bear Intersection Improvements as recommended in the City Council adopted White Bear Avenue Small Area Plan.  The plan recommended installing left turn lanes on White Bear Avenue at Minnehaha, 7th, Maryland and Old Hudson to improve safety and improve access.

Funding for necessary right-of-way at the Minnehaha and Maryland intersections and the city's share of the construction costs at Minnehaha intersection were funded in 2004 and 2005.  The City's share of the construction cost at Maryland is needed to match programmed Ramsey County and Federal funds in 2006 and funding to purchase the necessary right-of-way at Old Hudson is needed in 2007.",White Bear Avenue at Maryland Avenue and Old Hudson Road,"1, 2",,
SU-6602231-99,Saint Paul Street Vitality Paving Program,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Citywide,Citywide,,
RE-552583-3,Facelift Program,"Stabilize neighborhoods and families by improving housing stock and providing ""healthy homes."" Resources targeted toward vacant/foreclosed properties located on or close to main corridors and areas of other investment.  Redeveloped properties will be sold at prices affordable to low and low-moderate income families.",Scatted Site Owner Occupied Single Family Homes,"6, 7, 8, 11",44.9611626,-93.150032
SU-0303462,Sidney/State/Robert Intersection Redesign,"Redesign and reconstruct the intersection of Sidney Street East, South Robert Street, and State Street to reduce speeds and blind spots. Upgrading the complicated and deadly corner will create a safer commute for the neighborhood and safer streets for businesses on the corner.",Sidney St. State St. and Robert St.,3,44.9238968,-93.0806885
SU-1303502-1,Reconstruction of Summit Ave Bridge,This project will reconstruct Summit Avenue Bridge No. 62504 and associated approach roadway over Ayd Mill Road and Canadian Pacific (CP) Railroad tracks between Syndicate Street and Griggs Street.,Summit Ave from Syndicate to Griggs,13,44.9414101,-93.1530533
CF-152897,Fire Station 19 Expansion,The Fire Department would like to build a two story addition at Fire Station 19 (Saint Paul Avenue at Edgcumbe Road). The addition would include a drive-through apparatus bay 20 feet wide by 86 feet long with the second floor containing additional dormitory and firefighter spaces.,2530 Edcumbe Roade,15,44.9037247,-93.1766281
CF-0703102,Frogtown Park and Farm/Wilder Play Area,"A community generated proposal for a new park, nature preserve and urban demonstration garden to be located on 13 acres of land vacated by the former Wilder Foundation in an area of Saint Paul in great need of green space. This proposal offers unique opportunities to both partner with the Trust for Public Land (TPL) to acquire the property, and to partner with community organizations for future programming.  TPL has negotiated a purchase agreement with the Wilder Foundation on the property and is in process to receive an LCCMR grant of up to $1.5M.  The City is committing $280,000 of eligible parkland replacement funds in 2012.  When combined with tentative future CIB cycle commitments of $220,000 of STAR and $500,000 of CIB bonds, the City's total investment will be $1 million of the TPL $3.5 million project budget.",119 Blair Street,7,44.9615135,-93.1373291
CF-113129,May Park Play Area,"The project includes removal of existing play equipment, possible replacement with a smaller or modified play area, and improvements to the multi-purpose turf field located at May Park, including associated parkland enhancements.  Enhancements of the park will be discussed with a community design advisory committee to determine the preferred style of the play area as well as naturalized landscaping, improved circulation around the park, and improvements to the multi-purpose turf field. If it's determined a play area is needed, improvements to it will replace the play equipment constructed in 1987 and it will meet current ADA and CPSC standards.","816 Clayland Place, St. Paul, MN",11,44.9653664,-93.1781235
SU-5503247,Margaret Street Bike Blvd,This proposal would provide funding to complete the design of the Margaret Street Bike Boulevard (Forest Street to McKnight Road) as well as the design of an off-street path along the west side of McKnight Road  between Minnehaha Avenue to Hudson Road.,Margaret Street,"1, 4",44.9612541,-93.0575333
SU-0303447,Oakdale Ave Lighting Improvements,"This project is to replace and supplement current bent straw lights on Oakdale Ave between State St and Annapolis St. with lantern style LED lighting.  Current lighting is dim, inefficient, and unattractive",Oakdale Ave from State St. to Annapolis St,3,44.9244881,-93.0778732
SU-013485,Battle Creek Road Reconstruction Phase 1,"Reconstruction of with new curb and gutter, sewer upgrades draining to Upper Afton, lighting and road structure from UpperAfton Road to the boundary of Battle Creek Park (south of Park Court).",Battle Creek Road From Upper Afton to Park Boundary,1,44.9357986,-93.0200577
